Coverage	Frequency	Reads
1727	1	258816008
1731	1	258817739
1732	2	258821203
1734	1	258822937
1737	1	258824674
1738	1	258826412
1741	1	258828153
1743	1	258829896
1748	1	258831644
1749	1	258833393
1754	1	258835147
1756	1	258836903
1757	1	258838660
1762	3	258843946
1767	1	258845713
1768	1	258847481
1774	2	258851029
1777	1	258852806
1782	1	258854588
1786	1	258856374
1792	1	258858166
1794	1	258859960
1795	1	258861755
1797	2	258865349
1806	1	258867155
1808	1	258868963
1810	1	258870773
1811	1	258872584
1812	1	258874396
1813	1	258876209
1815	1	258878024
1831	3	258883517
1833	1	258885350
1836	1	258887186
1843	1	258889029
1844	1	258890873
1846	2	258894565
1847	1	258896412
1848	1	258898260
1855	1	258900115
1856	1	258901971
1860	2	258905691
1862	1	258907553
1867	1	258909420
1868	1	258911288
1875	2	258915038
1877	1	258916915
1879	1	258918794
1880	1	258920674
1881	1	258922555
1885	2	258926325
1886	1	258928211
1887	1	258930098
1890	1	258931988
1892	1	258933880
1893	2	258937666
1898	1	258939564
1902	1	258941466
1903	1	258943369
1907	1	258945276
1909	1	258947185
1914	1	258949099
1915	1	258951014
1918	1	258952932
1920	1	258954852
1923	1	258956775
1925	1	258958700
1928	1	258960628
1931	1	258962559
1933	1	258964492
1934	1	258966426
1938	1	258968364
1941	2	258972246
1943	1	258974189
1944	1	258976133
1945	1	258978078
1952	1	258980030
1954	2	258983938
1962	1	258985900
1964	1	258987864
1970	1	258989834
1973	1	258991807
1975	1	258993782
1976	1	258995758
1986	1	258997744
1990	1	258999734
1992	1	259001726
1993	1	259003719
2005	1	259005724
2007	1	259007731
2008	1	259009739
2010	1	259011749
2011	1	259013760
2014	2	259017788
2015	2	259021818
2016	1	259023834
2020	1	259025854
2024	1	259027878
2031	1	259029909
2033	2	259033975
2035	1	259036010
2038	1	259038048
2043	1	259040091
2045	1	259042136
2047	1	259044183
2057	1	259046240
2062	2	259050364
2068	1	259052432
2073	1	259054505
2074	2	259058653
2079	1	259060732
2082	1	259062814
2088	2	259066990
2089	1	259069079
2091	1	259071170
2095	1	259073265
2102	2	259077469
2110	2	259081689
2113	1	259083802
2115	1	259085917
2117	2	259090151
2133	1	259092284
2134	1	259094418
2146	1	259096564
2147	1	259098711
2148	1	259100859
2161	1	259103020
2162	1	259105182
2173	2	259109528
2174	1	259111702
2179	1	259113881
2181	1	259116062
2182	1	259118244
2184	1	259120428
2185	1	259122613
2194	1	259124807
2201	2	259129209
2203	1	259131412
2204	1	259133616
2207	1	259135823
2208	2	259140239
2212	1	259142451
2213	1	259144664
2215	1	259146879
2221	2	259151321
2227	2	259155775
2233	1	259158008
2240	1	259160248
2246	1	259162494
2250	1	259164744
2257	1	259167001
2260	1	259169261
2261	1	259171522
2262	2	259176046
2263	1	259178309
2268	1	259180577
2269	1	259182846
2275	1	259185121
2280	2	259189681
2283	1	259191964
2284	1	259194248
2285	1	259196533
2290	1	259198823
2293	1	259201116
2294	1	259203410
2296	2	259208002
2300	1	259210302
2302	1	259212604
2318	1	259214922
2321	1	259217243
2334	1	259219577
2336	1	259221913
2338	1	259224251
2343	1	259226594
2350	1	259228944
2353	1	259231297
2354	1	259233651
2355	1	259236006
2369	1	259238375
2370	1	259240745
2379	1	259243124
2381	1	259245505
2388	2	259250281
2390	1	259252671
2392	1	259255063
2399	1	259257462
2404	1	259259866
2410	2	259264686
